# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.fastMisses,1743796685540000000,1743796706516000000,67390
FileNameCache.queries,1743796685540000000,1743796706516000000,1467941
FileNameCache.totalMisses,1743796685540000000,1743796706516000000,44652
jps.save.changed.project.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743796685540000000,1743796706516000000,0
jps.storage.jps.conf.reader.load.component.ms,1743796685540000000,1743796706516000000,21
jps.app.storage.content.reader.load.component.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743796685540000000,1743796706516000000,0
jps.app.storage.content.writer.save.component.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743796685540000000,1743796706516000000,10
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796685540000000,1743796706516000000,5
workspaceModel.mutableEntityStorage.entities.ms,1743796685540000000,1743796706516000000,1
jps.global.initialize.library.bridges.after.loading.ms,1743796685540000000,1743796706516000000,0
jps.facet.change.listener.before.change.events.ms,1743796685540000000,1743796706516000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743796685540000000,1743796706516000000,0
jps.global.initialize.library.bridges.ms,1743796685540000000,1743796706516000000,7
jps.load.project.to.empty.storage.ms,1743796685540000000,1743796706516000000,61
workspaceModel.load.cache.from.file.ms,1743796685540000000,1743796706516000000,58
workspaceModel.mutableEntityStorage.add.diff.ms,1743796685540000000,1743796706516000000,5
jps.module.iml.entities.serializer.load.entities.ms,1743796685540000000,1743796706516000000,37
workspaceModel.global.apply.state.to.project.builder.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743796685540000000,1743796706516000000,0
jps.load.initial.state.ms,1743796685540000000,1743796706516000000,4
jps.reload.project.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796685540000000,1743796706516000000,0
jps.global.handle.before.change.events.ms,1743796685540000000,1743796706516000000,0
jps.library.entities.serializer.load.entities.ms,1743796685540000000,1743796706516000000,9
jps.facet.change.listener.process.change.events.ms,1743796685540000000,1743796706516000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796685540000000,1743796706516000000,0
jps.artifact.entities.serializer.save.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796685540000000,1743796706516000000,0
jps.apply.loaded.storage.ms,1743796685540000000,1743796706516000000,15
workspaceModel.save.cache.to.file.ms,1743796685540000000,1743796706516000000,27
workspaceModel.moduleManagerBridge.load.module.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796685540000000,1743796706516000000,0
jps.artifact.entities.serializer.load.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.global.updates.count,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796685540000000,1743796706516000000,0
jps.facet.change.listener.init.bridge.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743796685540000000,1743796706516000000,204
workspaceModel.sync.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleBridge.before.changed.ms,1743796685540000000,1743796706516000000,0
workspaceModel.global.apply.state.to.project.ms,1743796685540000000,1743796706516000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1743796685540000000,1743796706516000000,0
jps.global.get.libraries.ms,1743796685540000000,1743796706516000000,0
jps.save.global.entities.ms,1743796685540000000,1743796706516000000,1
workspaceModel.moduleBridge.update.option.ms,1743796685540000000,1743796706516000000,0
jps.global.get.library.ms,1743796685540000000,1743796706516000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743796685540000000,1743796706516000000,79
workspaceModel.mutableEntityStorage.add.entity.ms,1743796685540000000,1743796706516000000,31
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796685540000000,1743796706516000000,0
jps.global.get.library.by.name.ms,1743796685540000000,1743796706516000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743796685540000000,1743796706516000000,29
workspaceModel.orphan.listener.update.ms,1743796685540000000,1743796706516000000,4
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796685540000000,1743796706516000000,0
jps.global.handle.changed.events.ms,1743796685540000000,1743796706516000000,0
workspaceModel.global.updates.ms,1743796685540000000,1743796706516000000,0
jps.library.entities.serializer.save.entities.ms,1743796685540000000,1743796706516000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743796685540000000,1743796706516000000,6
jps.project.serializers.save.ms,1743796685540000000,1743796706516000000,0
jps.project.serializers.load.ms,1743796685540000000,1743796706516000000,25
workspaceModel.collect.changes.ms,1743796685540000000,1743796706516000000,0
workspaceModel.loading.from.cache.ms,1743796685540000000,1743796706516000000,59
workspaceModel.replace.project.model.ms,1743796685540000000,1743796706516000000,0
workspaceModel.check.recursive.update.ms,1743796685540000000,1743796706516000000,0
workspaceModel.updates.precise.ms,1743796685540000000,1743796706516000000,14
workspaceModel.initializing.ms,1743796685540000000,1743796706516000000,8
workspaceModel.updates.count,1743796685540000000,1743796706516000000,5
workspaceModel.to.snapshot.ms,1743796685540000000,1743796706516000000,0
workspaceModel.init.bridges.ms,1743796685540000000,1743796706516000000,8
workspaceModel.pre.handlers.ms,1743796685540000000,1743796706516000000,0
workspaceModel.updates.ms,1743796685540000000,1743796706516000000,44
workspaceModel.loading.total.ms,1743796685540000000,1743796706516000000,68
workspaceModel.update.unloaded.entities.ms,1743796685540000000,1743796706516000000,0
NonBlockingReadAction.finalizedExecutionsCount,1743796685540000000,1743796706516000000,24
AWTEventQueue.dispatchTimeTotalNS,1743796685540000000,1743796706516000000,3970031237
NonBlockingReadAction.finalizedExecutionTimeUs,1743796685540000000,1743796706516000000,529239
NonBlockingReadAction.failedExecutionTimeUs,1743796685540000000,1743796706516000000,283329
NonBlockingReadAction.failedExecutionsCount,1743796685540000000,1743796706516000000,1
DirectByteBufferAllocator.disposed,1743796685540000000,1743796706516000000,229
FilePageCache.totalPageDisposalsUs,1743796685540000000,1743796706516000000,295
FilePageCache.maxRegisteredFiles,1743796685540000000,1743796706516000000,635
StorageLockContext.competingThreads.avg,1743796685540000000,1743796706516000000,0.0
DirectByteBufferAllocator.misses,1743796685540000000,1743796706516000000,275
FilePageCache.uncachedFileAccess,1743796685540000000,1743796706516000000,141
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743796685540000000,1743796706516000000,52469760
StorageLockContext.competingThreads.max,1743796685540000000,1743796706516000000,0
FilePageCache.maxCacheSizeInBytes,1743796685540000000,1743796706516000000,292593664
FilePageCache.pageLoads,1743796685540000000,1743796706516000000,278
DirectByteBufferAllocator.hits,1743796685540000000,1743796706516000000,3
FilePageCache.pageFastCacheHits,1743796685540000000,1743796706516000000,157727
FilePageCache.pageLoadsAboveSizeThreshold,1743796685540000000,1743796706516000000,0
DirectByteBufferAllocator.reclaimed,1743796685540000000,1743796706516000000,49
FilePageCache.disposedBuffers,1743796685540000000,1743796706516000000,278
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743796685540000000,1743796706516000000,52469760
FilePageCache.totalPageLoadsUs,1743796685540000000,1743796706516000000,112109
FilePageCache.pageHits,1743796685540000000,1743796706516000000,0
FilePageCache.capacityInBytes,1743796685540000000,1743796706516000000,524288000
StorageLockContext.competingThreads.90P,1743796685540000000,1743796706516000000,0
Indexes.entries.lookupDuration90PMs,1743796685540000000,1743796706516000000,12.0
Indexes.entries.lookupDurationMaxMs,1743796685540000000,1743796706516000000,12.0
Indexes.allKeys.lookups,1743796685540000000,1743796706516000000,0.0
Indexes.stubs.lookupDurationMaxMs,1743796685540000000,1743796706516000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743796685540000000,1743796706516000000,0.0
Indexes.entries.lookups,1743796685540000000,1743796706516000000,9.0
Indexes.stubs.lookupDuration90PMs,1743796685540000000,1743796706516000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743796685540000000,1743796706516000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743796685540000000,1743796706516000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743796685540000000,1743796706516000000,0.0
Indexes.stubs.lookups,1743796685540000000,1743796706516000000,0.0
Indexes.entries.lookupDurationAvgMs,1743796685540000000,1743796706516000000,3.4444444444444446
